PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Aaron Gordon,DEN,DEN vs. LAL,10/24/2023,W,35,15,7,11,63.6,1,2,50,0,0,-,2,5,7,5,2,1,0,0,6,39.9
Christian Braun,DEN,DEN vs. LAL,10/24/2023,W,19,5,2,5,40,0,1,0,1,2,50,1,2,3,2,0,1,1,1,5,13.6
Zeke Nnaji,DEN,DEN vs. LAL,10/24/2023,W,12,4,1,3,33.3,0,1,0,2,2,100,0,0,0,1,0,0,1,2,-3,4.5
Reggie Jackson,DEN,DEN vs. LAL,10/24/2023,W,24,8,3,8,37.5,2,5,40,0,0,-,0,3,3,1,1,0,2,0,11,14.1
Collin Gillespie,DEN,DEN vs. LAL,10/24/2023,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0
Peyton Watson,DEN,DEN vs. LAL,10/24/2023,W,11,3,1,3,33.3,1,3,33.3,0,0,-,0,0,0,0,0,1,1,1,1,5
Braxton Key,DEN,DEN vs. LAL,10/24/2023,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0
Jalen Pickett,DEN,DEN vs. LAL,10/24/2023,W,1,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,2
Michael Porter Jr.,DEN,DEN vs. LAL,10/24/2023,W,30,12,5,13,38.5,2,9,22.2,0,0,-,2,10,12,2,2,0,0,1,12,35.4
Jamal Murray,DEN,DEN vs. LAL,10/24/2023,W,34,21,8,13,61.5,3,5,60,2,2,100,0,2,2,6,0,1,1,3,3,34.4
Nikola Jokic,DEN,DEN vs. LAL,10/24/2023,W,36,29,12,22,54.5,3,5,60,2,4,50,3,10,13,11,1,1,2,2,15,65.1
Kentavious Caldwell-Pope,DEN,DEN vs. LAL,10/24/2023,W,36,20,8,12,66.7,2,3,66.7,2,2,100,1,1,2,1,3,1,3,5,10,32.9
Jonathan Kuminga,GSW,GSW vs. PHX,10/24/2023,L,20,12,4,8,50,0,0,-,4,6,66.7,3,3,6,1,2,1,2,5,4,27.7
Moses Moody,GSW,GSW vs. PHX,10/24/2023,L,18,11,4,6,66.7,2,4,50,1,2,50,1,2,3,0,3,1,1,1,-6,25.6
Dario Saric,GSW,GSW vs. PHX,10/24/2023,L,20,7,3,11,27.3,1,3,33.3,0,0,-,4,3,7,1,0,2,0,3,7,22.9
Andrew Wiggins,GSW,GSW vs. PHX,10/24/2023,L,27,10,4,12,33.3,0,3,0,2,3,66.7,1,0,1,0,0,1,0,3,-22,14.2
Stephen Curry,GSW,GSW vs. PHX,10/24/2023,L,31,27,8,20,40,4,14,28.6,7,7,100,1,4,5,1,1,0,2,5,-9,35.5
Gary Payton II,GSW,GSW vs. PHX,10/24/2023,L,22,1,0,5,0,0,2,0,1,2,50,0,2,2,2,3,0,0,1,15,15.4
Kevon Looney,GSW,GSW vs. PHX,10/24/2023,L,28,7,3,6,50,0,0,-,1,1,100,5,6,11,1,0,0,2,2,-11,19.7
Cory Joseph,GSW,GSW vs. PHX,10/24/2023,L,4,0,0,0,-,0,0,-,0,0,-,1,0,1,1,0,0,0,0,-12,2.7
Klay Thompson,GSW,GSW vs. PHX,10/24/2023,L,36,15,6,18,33.3,3,11,27.3,0,0,-,1,6,7,3,0,1,3,3,9,27.9
Chris Paul,GSW,GSW vs. PHX,10/24/2023,L,34,14,4,15,26.7,0,6,0,6,7,85.7,1,5,6,9,2,0,1,0,5,39.7
Austin Reaves,LAL,LAL @ DEN,10/24/2023,L,31,14,4,11,36.4,1,2,50,5,7,71.4,4,4,8,4,2,0,2,2,-14,33.6
